ldef	mean_chipenrich_caught	prop_covered	n
chromhmm_thurman.0.E	0.114813197677389	0.054614959336567	297
chromhmm_thurman.0.E_fantom	0.296551748304803	0.127568716471547	297
chromhmm_thurman.0.E_thurman	0.264278189915506	0.110014291745322	297
chromhmm_thurman.0.E_thurman_fantom	0.328255421818236	0.178319278013727	297
chromhmm_thurman.0.fantom	0.253474991616639	0.0784119229268147	297
chromhmm_thurman.0.nearest_tss_500000	0.38177377763933	0.165876235448302	297
chromhmm_thurman.0.P2P	0.145623714808324	0.0264665685464816	297
chromhmm_thurman.0.P2P_E	0.220849783210137	0.0773653294916134	297
chromhmm_thurman.0.P2P_E_fantom	0.316401915087565	0.148365738190602	297
chromhmm_thurman.0.P2P_E_thurman	0.296967203055622	0.13027519781176	297
chromhmm_thurman.0.P2P_E_thurman_fantom	0.338320692215841	0.197006508831012	297
chromhmm_thurman.0.P2P_fantom	0.282047825550174	0.10245722437094	297
chromhmm_thurman.0.P2P_thurman	0.252335220171444	0.0842651122599672	297
chromhmm_thurman.0.P2P_thurman_fantom	0.312944898379368	0.155199340321876	297
chromhmm_thurman.0.thurman	0.207865222184874	0.0611896586162018	297
chromhmm_thurman.0.thurman_fantom	0.298530648101122	0.134039327297423	297
chromhmm_thurman.1000.E	0.121587939988022	0.0795575561901397	297
chromhmm_thurman.1000.E_fantom	0.32908768317718	0.193872205164925	297
chromhmm_thurman.1000.E_thurman	0.284979289215664	0.155699313190157	297
chromhmm_thurman.1000.E_thurman_fantom	0.360118702752176	0.263250386335102	297
chromhmm_thurman.1000.fantom	0.28549815811964	0.122989645646767	297
chromhmm_thurman.1000.nearest_tss_500000	0.41613460919139	0.244758619282428	297
chromhmm_thurman.1000.P2P	0.161996058090945	0.033128815239229	297
chromhmm_thurman.1000.P2P_E	0.241884444155087	0.108393493298333	297
chromhmm_thurman.1000.P2P_E_fantom	0.34982508701245	0.22016475005049	297
chromhmm_thurman.1000.P2P_E_thurman	0.32312224056881	0.181574379795537	297
chromhmm_thurman.1000.P2P_E_thurman_fantom	0.371254325435334	0.287080212346687	297
chromhmm_thurman.1000.P2P_fantom	0.314862857826107	0.153012462666275	297
chromhmm_thurman.1000.P2P_thurman	0.274649590259541	0.112588086520825	297
chromhmm_thurman.1000.P2P_thurman_fantom	0.344809993523459	0.22525076827014	297
chromhmm_thurman.1000.thurman	0.224022617011477	0.0833697921749651	297
